"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"148","Tyler Lockett","WR","SEA","2","21.9","6.9","7.4","BYE","","","","","","","","","","","","","","9.6","38.2"
"149","Hunter Henry","TE","NE","14.1","14.2","2.7","7.1","0","","","","","","","","","","","","","","7.6","38.1"
"150","Chris Godwin","WR","TB","7.6","8.3","6.7","15.4","BYE","","","","","","","","","","","","","","9.5","38"
"150","Dustin Hopkins","K","CLE","12","9","12","5","BYE","","","","","","","","","","","","","","9.5","38"
"152","Rashee Rice","WR","KC","10.1","3","8.4","4.7","11.3","","","","","","","","","","","","","","7.5","37.5"
"152","Logan Thomas","TE","WAS","6.3","9.2","-","5.8","16.2","","","","","","","","","","","","","","9.4","37.5"
"154","Josh Downs","WR","IND","4.5","5.7","9.7","4.4","12.7","","","","","","","","","","","","","","7.4","37"
"154","Dallas Goedert","TE","PHI","0","5.2","6.6","3.5","21.7","","","","","","","","","","","","","","7.4","37"
"154","Wil Lutz","K","DEN","4","9","8","9","7","","","","","","","","","","","","","","7.4","37"
"157","Miles Sanders","RB","CAR","9.8","6.2","14.7","4.7","1.2","","","","","","","","","","","","","","7.3","36.6"
"158","Kansas City Chiefs","DST","KC","4","10","11","5","6","","","","","","","","","","","","","","7.2","36"
"158","Indianapolis Colts","DST","IND","11","9","9","3","4","","","","","","","","","","","","","","7.2","36"
"158","Houston Texans","DST","HOU","8","-1","13","12","4","","","","","","","","","","","","","","7.2","36"
"161","Dalton Schultz","TE","HOU","1.4","5.4","1.4","11.7","16","","","","","","","","","","","","","","7.2","35.9"
"162","Darren Waller","TE","NYG","5.1","10.6","3.5","3.6","12.6","","","","","","","","","","","","","","7.1","35.4"
"163","K.J. Osborn","WR","MIN","4.6","10.9","10.1","2.1","7.4","","","","","","","","","","","","","","7","35.1"
"164","Younghoe Koo","K","ATL","7","13","7","1","7","","","","","","","","","","","","","","7","35"
"164","Green Bay Packers","DST","GB","15","3","5","3","9","","","","","","","","","","","","","","7","35"
"164","Anders Carlson","K","GB","10","6","4","8","7","","","","","","","","","","","","","","7","35"
"167","Tyjae Spears","RB","TEN","3.3","6.5","2.9","7.3","14.9","","","","","","","","","","","","","","7","34.9"
"168","Brandon Johnson","WR","DEN","4.1","19.6","2.2","6.9","1.4","","","","","","","","","","","","","","6.8","34.2"
"169","DJ Chark Jr.","WR","CAR","-","2","16.6","3.8","11.7","","","","","","","","","","","","","","8.5","34.1"
"170","Graham Gano","K","NYG","0","7","9","5","13","","","","","","","","","","","","","","6.8","34"
"170","Riley Patterson","K","DET","3","7","8","10","6","","","","","","","","","","","","","","6.8","34"
"172","Justice Hill","RB","BAL","12.9","6.8","-","3.3","10.5","","","","","","","","","","","","","","8.4","33.5"
"172","Jake Ferguson","TE","DAL","2.1","8.6","7.3","11.2","4.3","","","","","","","","","","","","","","6.7","33.5"
"174","Gus Edwards","RB","BAL","5.2","12.2","5.1","5.9","4.8","","","","","","","","","","","","","","6.6","33.2"
"175","Jonnu Smith","TE","ATL","0","6.7","6.2","12.5","7.7","","","","","","","","","","","","","","6.6","33.1"
"176","Kalif Raymond","WR","DET","2.5","12.7","7.5","4.3","6","","","","","","","","","","","","","","6.6","33"
"177","Nick Westbrook-Ikhine","WR","TEN","7.8","10","-","13.6","1.4","","","","","","","","","","","","","","8.2","32.8"
"178","Allen Lazard","WR","NYJ","5.6","3.3","5.4","13.6","4.8","","","","","","","","","","","","","","6.5","32.7"
"179","Robert Woods","WR","HOU","8.7","10.4","4.9","4.1","4.5","","","","","","","","","","","","","","6.5","32.6"
"180","Alvin Kamara","RB","NO","-","-","-","14.9","17.2","","","","","","","","","","","","","","16.1","32.1"
"181","Saquon Barkley","RB","NYG","7.8","24.2","-","-","-","","","","","","","","","","","","","","16","32"
"181","Cleveland Browns","DST","CLE","9","7","12","4","BYE","","","","","","","","","","","","","","8","32"
"181","Chase McLaughlin","K","TB","10","9","3","10","BYE","","","","","","","","","","","","","","8","32"
"181","Cameron Dicker","K","LAC","12","10","4","6","BYE","","","","","","","","","","","","","","8","32"
"185","Jahmyr Gibbs","RB","DET","7","9.1","8.7","7.1","-","","","","","","","","","","","","","","8","31.9"
"186","Zach Ertz","TE","ARI","5.1","8.6","1.6","8.3","8","","","","","","","","","","","","","","6.3","31.6"
"187","Rondale Moore","WR","ARI","6","1.9","14.2","0","9.1","","","","","","","","","","","","","","6.2","31.2"
"188","Samaje Perine","RB","DEN","9.8","3.9","3.4","4.5","9.5","","","","","","","","","","","","","","6.2","31.1"
"189","Justin Tucker","K","BAL","5","11","7","4","4","","","","","","","","","","","","","","6.2","31"
"190","Tee Higgins","WR","CIN","0","24.9","3.1","2.9","-","","","","","","","","","","","","","","7.7","30.9"
"190","Najee Harris","RB","PIT","4.3","4.8","6.5","10.8","4.5","","","","","","","","","","","","","","6.2","30.9"
"192","Tyler Higbee","TE","LAR","6.4","2.7","9.6","8.9","3","","","","","","","","","","","","","","6.1","30.6"
"193","Gardner Minshew II","QB","IND","0","11.1","13.1","-","6.3","","","","","","","","","","","","","","7.6","30.5"
